,ds,y,yhat1,residual1,trend,season_weekly
0,2022-09-07,,1020.631591796875,,1025.98583984375,-5.35426664352417
1,2022-09-08,,1027.5166015625,,1024.8077392578125,2.7088992595672607
2,2022-09-09,,1025.98046875,,1023.629638671875,2.350770950317383
3,2022-09-10,,1028.9453125,,1022.4515380859375,6.493770599365234
4,2022-09-11,,1020.6635131835938,,1021.2734375,-0.6099398732185364
5,2022-09-12,,1013.6989135742188,,1020.0953369140625,-6.39640998840332
6,2022-09-13,,1019.7244873046875,,1018.9172973632812,0.807175874710083
7,2022-09-14,,1012.3848876953125,,1017.7391357421875,-5.35426664352417
8,2022-09-15,,1019.27001953125,,1016.56103515625,2.7088992595672607
9,2022-09-16,,1017.7337646484375,,1015.3829345703125,2.350770950317383
10,2022-09-17,,1020.6986083984375,,1014.204833984375,6.493770599365234
11,2022-09-18,,1012.4168701171875,,1013.0267944335938,-0.6099398732185364
12,2022-09-19,,1005.4522705078125,,1011.8486938476562,-6.39640998840332
13,2022-09-20,,1011.477783203125,,1010.6705322265625,0.807175874710083
14,2022-09-21,,1004.13818359375,,1009.492431640625,-5.35426664352417
15,2022-09-22,,1011.0233154296875,,1008.3143310546875,2.7088992595672607
16,2022-09-23,,1009.487060546875,,1007.1362915039062,2.350770950317383
17,2022-09-24,,1012.451904296875,,1005.9581909179688,6.493770599365234
18,2022-09-25,,1004.170166015625,,1004.7800903320312,-0.6099398732185364
19,2022-09-26,,997.20556640625,,1003.6019897460938,-6.39640998840332
20,2022-09-27,,1003.2310791015625,,1002.4238891601562,0.807175874710083
21,2022-09-28,,995.8915405273438,,1001.2457885742188,-5.35426664352417
22,2022-09-29,,1002.776611328125,,1000.0676879882812,2.7088992595672607
23,2022-09-30,,1001.2403564453125,,998.8895874023438,2.350770950317383
24,2022-10-01,,1004.2052612304688,,997.7114868164062,6.493770599365234
25,2022-10-02,,995.9234619140625,,996.533447265625,-0.6099398732185364
26,2022-10-03,,988.9588623046875,,995.3552856445312,-6.39640998840332
27,2022-10-04,,994.984375,,994.1771850585938,0.807175874710083
28,2022-10-05,,987.644775390625,,992.9990844726562,-5.35426664352417
29,2022-10-06,,994.5299072265625,,991.8209838867188,2.7088992595672607
