,ds,y,yhat1,residual1,trend,season_weekly
0,2021-12-03,1018.9117431640624,996.404296875,-22.507446289062386,994.0535278320312,2.350770950317383
1,2021-12-04,1018.9117431640624,992.8134155273438,-26.098327636718636,986.3196411132812,6.493770599365234
2,2021-12-05,1018.9117431640624,977.975830078125,-40.935913085937386,978.5857543945312,-0.6099398732185364
3,2021-12-06,1027.197509765625,964.4554443359375,-62.7420654296875,970.8518676757812,-6.39640998840332
4,2021-12-07,1027.3221435546875,963.9251708984375,-63.39697265625,963.1179809570312,0.807175874710083
5,2021-12-08,1027.845458984375,950.0298461914062,-77.81561279296875,955.3840942382812,-5.35426664352417
6,2021-12-09,1026.8814697265625,950.359130859375,-76.5223388671875,947.6502075195312,2.7088992595672607
7,2021-12-10,1026.8814697265625,942.26708984375,-84.6143798828125,939.9163208007812,2.350770950317383
8,2021-12-11,750.844970703125,938.6762084960938,187.83123779296875,932.1824340820312,6.493770599365234
9,2021-12-12,849.1373291015625,923.838623046875,74.7012939453125,924.4485473632812,-0.6099398732185364
10,2021-12-13,891.8306274414062,910.3182983398438,18.4876708984375,916.7147216796875,-6.39640998840332
11,2021-12-14,892.7972412109375,909.7879638671875,16.99072265625,908.9808349609375,0.807175874710083
12,2021-12-15,823.3157958984375,895.8926391601562,72.57684326171875,901.2469482421875,-5.35426664352417
13,2021-12-16,843.4954223632812,896.221923828125,52.72650146484375,893.5130615234375,2.7088992595672607
14,2021-12-17,847.4262084960938,888.1299438476562,40.7037353515625,885.7791748046875,2.350770950317383
15,2021-12-18,852.4110107421875,884.5390625,32.1280517578125,878.0452880859375,6.493770599365234
16,2021-12-19,847.632080078125,869.7014770507812,22.06939697265625,870.3114013671875,-0.6099398732185364
17,2021-12-20,776.0689697265625,856.1810913085938,80.11212158203125,862.5775146484375,-6.39640998840332
18,2021-12-21,855.4924926757812,855.6508178710938,0.1583251953125,854.8436279296875,0.807175874710083
19,2021-12-22,836.254638671875,841.7554931640625,5.5008544921875,847.1097412109375,-5.35426664352417
20,2021-12-23,850.7572631835938,842.0847778320312,-8.6724853515625,839.3758544921875,2.7088992595672607
21,2021-12-24,826.5667114257812,833.9927368164062,7.426025390625,831.6419677734375,2.350770950317383
22,2021-12-25,820.6111450195312,830.40185546875,9.79071044921875,823.9080810546875,6.493770599365234
23,2021-12-26,820.6522216796875,817.960693359375,-2.6915283203125,818.5706787109375,-0.6099398732185364
24,2021-12-27,827.3651123046875,811.56494140625,-15.8001708984375,817.9613647460938,-6.39640998840332
25,2021-12-28,832.06396484375,818.1592407226562,-13.90472412109375,817.35205078125,0.807175874710083
26,2021-12-29,835.313232421875,811.3884887695312,-23.92474365234375,816.7427368164062,-5.35426664352417
27,2021-12-30,827.5269165039062,818.8423461914062,-8.6845703125,816.1334228515625,2.7088992595672607
28,2021-12-31,847.0986328125,817.8749389648438,-29.22369384765625,815.524169921875,2.350770950317383
29,2022-01-01,824.7166137695312,821.4086303710938,-3.3079833984375,814.9148559570312,6.493770599365234
30,2022-01-02,846.531494140625,813.6956176757812,-32.83587646484375,814.3055419921875,-0.6099398732185364
31,2022-01-03,833.6514282226562,807.2998657226562,-26.3515625,813.6962890625,-6.39640998840332
32,2022-01-04,814.64697265625,813.8941040039062,-0.75286865234375,813.0869140625,0.807175874710083
33,2022-01-05,813.7138061523438,807.1234130859375,-6.59039306640625,812.4776611328125,-5.35426664352417
34,2022-01-06,819.4404296875,814.5772705078125,-4.8631591796875,811.8683471679688,2.7088992595672607
35,2022-01-07,832.1840209960938,813.6098022460938,-18.57421875,811.259033203125,2.350770950317383
36,2022-01-08,830.7315673828125,817.1435546875,-13.5880126953125,810.6497802734375,6.493770599365234
37,2022-01-09,818.8123168945312,809.4305419921875,-9.38177490234375,810.0404663085938,-0.6099398732185364
38,2022-01-10,820.83837890625,803.0347290039062,-17.80364990234375,809.43115234375,-6.39640998840332
39,2022-01-11,825.7587280273438,809.6290283203125,-16.12969970703125,808.8218383789062,0.807175874710083
40,2022-01-12,845.5258178710938,802.8582763671875,-42.66754150390625,808.2125244140625,-5.35426664352417
41,2022-01-13,852.4644775390625,810.3121337890625,-42.15234375,807.603271484375,2.7088992595672607
42,2022-01-14,825.2214965820312,809.3447265625,-15.87677001953125,806.9939575195312,2.350770950317383
43,2022-01-15,789.53369140625,812.87841796875,23.3447265625,806.3846435546875,6.493770599365234
44,2022-01-16,799.2490844726562,805.1654052734375,5.91632080078125,805.7753295898438,-0.6099398732185364
45,2022-01-17,788.9082641601562,798.7696533203125,9.86138916015625,805.166015625,-6.39640998840332
46,2022-01-18,789.94775390625,805.9700927734375,16.0223388671875,805.1629028320312,0.807175874710083
47,2022-01-19,796.8118286132812,800.1004638671875,3.28863525390625,805.4547119140625,-5.35426664352417
48,2022-01-20,785.1629028320312,808.4553833007812,23.29248046875,805.7465209960938,2.7088992595672607
49,2022-01-21,791.694091796875,808.3890380859375,16.6949462890625,806.0382690429688,2.350770950317383
50,2022-01-22,790.2664794921875,812.8238525390625,22.557373046875,806.330078125,6.493770599365234
51,2022-01-23,790.836669921875,806.011962890625,15.17529296875,806.6218872070312,-0.6099398732185364
52,2022-01-24,787.295166015625,800.5172119140625,13.2220458984375,806.9136352539062,-6.39640998840332
53,2022-01-25,794.439697265625,808.0126342773438,13.57293701171875,807.2054443359375,0.807175874710083
54,2022-01-26,797.2490234375,802.1429443359375,4.8939208984375,807.4972534179688,-5.35426664352417
55,2022-01-27,795.1326293945312,810.4979248046875,15.36529541015625,807.7890014648438,2.7088992595672607
