,ds,y
10,2021-12-03,1018.9117431640624
11,2021-12-04,1018.9117431640624
12,2021-12-05,1018.9117431640624
13,2021-12-06,1027.197509765625
14,2021-12-07,1027.3221435546875
15,2021-12-08,1027.845458984375
16,2021-12-09,1026.8814697265625
17,2021-12-10,1026.8814697265625
18,2021-12-11,750.844970703125
19,2021-12-12,849.1373291015625
20,2021-12-13,891.8306274414062
21,2021-12-14,892.7972412109375
22,2021-12-15,823.3157958984375
23,2021-12-16,843.4954223632812
24,2021-12-17,847.4262084960938
25,2021-12-18,852.4110107421875
26,2021-12-19,847.632080078125
27,2021-12-20,776.0689697265625
28,2021-12-21,855.4924926757812
29,2021-12-22,836.254638671875
30,2021-12-23,850.7572631835938
31,2021-12-24,826.5667114257812
32,2021-12-25,820.6111450195312
33,2021-12-26,820.6522216796875
34,2021-12-27,827.3651123046875
35,2021-12-28,832.06396484375
36,2021-12-29,835.313232421875
37,2021-12-30,827.5269165039062
38,2021-12-31,847.0986328125
39,2022-01-01,824.7166137695312
40,2022-01-02,846.531494140625
41,2022-01-03,833.6514282226562
42,2022-01-04,814.64697265625
43,2022-01-05,813.7138061523438
44,2022-01-06,819.4404296875
45,2022-01-07,832.1840209960938
46,2022-01-08,830.7315673828125
47,2022-01-09,818.8123168945312
48,2022-01-10,820.83837890625
49,2022-01-11,825.7587280273438
50,2022-01-12,845.5258178710938
51,2022-01-13,852.4644775390625
52,2022-01-14,825.2214965820312
53,2022-01-15,789.53369140625
54,2022-01-16,799.2490844726562
55,2022-01-17,788.9082641601562
56,2022-01-18,789.94775390625
57,2022-01-19,796.8118286132812
58,2022-01-20,785.1629028320312
59,2022-01-21,791.694091796875
60,2022-01-22,790.2664794921875
61,2022-01-23,790.836669921875
62,2022-01-24,787.295166015625
63,2022-01-25,794.439697265625
64,2022-01-26,797.2490234375
65,2022-01-27,795.1326293945312
66,2022-01-28,808.6715087890625
67,2022-01-29,808.0664672851562
68,2022-01-30,808.02978515625
69,2022-01-31,809.7523193359375
70,2022-02-01,801.677734375
71,2022-02-02,798.8710327148438
72,2022-02-03,809.7828979492188
73,2022-02-04,819.8527221679688
74,2022-02-05,815.5592041015625
75,2022-02-06,828.0341796875
76,2022-02-07,818.2755126953125
77,2022-02-08,815.1153564453125
78,2022-02-09,818.33251953125
79,2022-02-10,810.1334228515625
80,2022-02-11,831.505615234375
81,2022-02-12,829.1260375976562
82,2022-02-13,828.1618041992188
83,2022-02-14,829.0907592773438
84,2022-02-15,827.4713745117188
85,2022-02-16,833.2596435546875
86,2022-02-17,835.4730224609375
87,2022-02-18,851.3359375
88,2022-02-19,851.353515625
89,2022-02-20,843.8221435546875
90,2022-02-21,862.4224243164062
91,2022-02-22,864.3768920898438
92,2022-02-23,866.235595703125
93,2022-02-24,869.4439697265625
94,2022-02-25,871.7628784179688
95,2022-02-26,872.2672119140625
96,2022-02-27,873.1331176757812
97,2022-02-28,878.4963989257812
98,2022-03-01,1009.0012817382812
99,2022-03-02,896.9501953125
100,2022-03-03,903.695556640625
101,2022-03-04,915.429931640625
102,2022-03-05,967.8050537109376
103,2022-03-06,893.2628784179688
104,2022-03-07,893.2761840820312
105,2022-03-08,893.3577270507812
106,2022-03-09,893.4381103515625
107,2022-03-10,897.9303588867188
108,2022-03-11,896.7288818359375
109,2022-03-12,937.6821899414062
110,2022-03-13,978.9924926757812
111,2022-03-14,959.5316162109376
112,2022-03-15,964.7996215820312
113,2022-03-16,971.3157958984376
114,2022-03-17,977.1765747070312
115,2022-03-18,979.0239868164062
116,2022-03-19,1037.5045166015625
117,2022-03-20,992.2466430664062
118,2022-03-21,996.772216796875
119,2022-03-22,1000.9749755859376
120,2022-03-23,1005.3204956054688
121,2022-03-24,1019.1610717773438
122,2022-03-25,1018.2784423828124
123,2022-03-26,1018.2537841796876
124,2022-03-27,1034.2569580078125
125,2022-03-28,1025.0054931640625
126,2022-03-29,1029.6043701171875
127,2022-03-30,1048.23974609375
128,2022-03-31,1050.7530517578125
129,2022-04-01,1053.8564453125
130,2022-04-02,1056.2935791015625
131,2022-04-03,1052.85400390625
132,2022-04-04,902.940673828125
133,2022-04-05,1051.4736328125
134,2022-04-06,867.6237182617188
135,2022-04-07,1027.325927734375
136,2022-04-08,1036.168212890625
137,2022-04-09,1029.6832275390625
138,2022-04-10,1031.2923583984375
139,2022-04-11,1036.7110595703125
140,2022-04-12,1027.186279296875
141,2022-04-13,1042.6573486328125
142,2022-04-14,980.5925903320312
143,2022-04-15,1048.33447265625
144,2022-04-16,1051.4569091796875
145,2022-04-17,1033.2005615234375
146,2022-04-18,1036.403564453125
147,2022-04-19,1038.03564453125
148,2022-04-20,1040.2196044921875
149,2022-04-21,1078.7003173828125
150,2022-04-22,1048.170654296875
151,2022-04-23,1077.8939208984375
152,2022-04-24,1072.5372314453125
153,2022-04-25,1043.145263671875
154,2022-04-26,1044.9874267578125
155,2022-04-27,1046.7735595703125
156,2022-04-28,1048.2554931640625
157,2022-04-29,1091.1292724609375
158,2022-04-30,1049.1890869140625
159,2022-05-01,1083.907470703125
160,2022-05-02,1059.3480224609375
161,2022-05-03,1036.1890869140625
162,2022-05-04,1032.01806640625
163,2022-05-05,1032.556396484375
164,2022-05-06,1032.95947265625
165,2022-05-07,1065.30126953125
166,2022-05-08,1033.785888671875
167,2022-05-09,1034.9202880859375
168,2022-05-10,1036.2423095703125
169,2022-05-11,1037.39990234375
170,2022-05-12,1038.71484375
171,2022-05-13,1051.1123046875
172,2022-05-14,1099.8284912109375
173,2022-05-15,1007.4170532226562
